Abrud,AB
Abrud-Sat,AB
Achimețești,AB
Acmariu,AB
Aiud,AB
Aiudul de Sus,AB
Alba Iulia,AB
Albac,AB
Alecuș,AB
Almașu Mare,AB
Almașu de Mijloc,AB
Ampoița,AB
Anghelești,AB
Arieșeni,AB
Aronești,AB
Arți,AB
Asinip,AB
Avram Iancu,AB
Avrămești (Arieșeni),AB
Avrămești (Avram Iancu),AB
Baba,AB
Baia de Arieș,AB
Balomiru de Câmp,AB
Băcăinți,AB
Bădăi,AB
Băgău,AB
Băi,AB
Bălcaciu,AB
Bălești,AB
Bălești-Cătun,AB
Bălmoșești,AB
Bărăbanț,AB
Bărăști,AB
Bărbești,AB
Băzești,AB
Bârdești,AB
Bârlești (Bistra),AB
Bârlești-Cătun,AB
Bârlești (Mogoș),AB
Bârlești (Scărișoara),AB
Bârsana,AB
Bârzan,AB
Bârzogani,AB
Beldiu,AB
Benic,AB
Berghin,AB
Beța,AB
Bidigești,AB
Biharia,AB
Biia,AB
Bilănești,AB
Bisericani,AB
Bistra,AB
Blaj,AB
Blandiana,AB
Blidești,AB
Bobărești (Sohodol),AB
Bobărești (Vidra),AB
Bocești,AB
Bocșitura,AB
Bodești,AB
Bodrești,AB
Bogdănești (Mogoș),AB
Bogdănești (Vidra),AB
Boglești,AB
Boldești,AB
Bolovănești,AB
Boncești,AB
Bordeștii Poieni,AB
Borlești,AB
Botești (Câmpeni),AB
Botești (Scărișoara),AB
Botești (Zlatna),AB
Boțani,AB
Boz,AB
Brădeana,AB
Brădești,AB
Brădet,AB
Brăzești,AB
Bubești,AB
Bucerdea Grânoasă,AB
Bucerdea Vinoasă,AB
Bucium,AB
Bucium-Sat,AB
Bucuru,AB
Budăiești,AB
Budeni,AB
Bulbuc,AB
Buninginea,AB
Bunta,AB
Burzești,AB
Burzonești,AB
Butești (Horea),AB
Butești (Mogoș),AB
Capu Dealului,AB
Carpen,AB
Carpenii de Sus,AB
Casa de Piatră,AB
Călene,AB
Călugărești,AB
Căpâlna,AB
Căpâlna de Jos,AB
Căptălan,AB
Căpud,AB
Cărpiniș (Gârbova),AB
Cărpiniș (Roșia Montană),AB
Căsoaia,AB
Câlnic,AB
Câmpeni,AB
Câmpu Goblii,AB
Cândești,AB
Cârăști,AB
Cârțulești,AB
Cenade,AB
Cerbu,AB
Cergău Mare,AB
Cergău Mic,AB
Certege,AB
Ceru-Băcăinți,AB
Cetatea de Baltă,AB
Cetea,AB
Cheia,AB
Cheile Cibului,AB
Cheleteni,AB
Cib,AB
Cicău,AB
Cicârd,AB
Cioara de Sus,AB
Ciocașu,AB
Cionești,AB
Cistei,AB
Cisteiu de Mureș,AB
Ciuculești,AB
Ciugud,AB
Ciugudu de Jos,AB
Ciugudu de Sus,AB
Ciuguzel,AB
Ciuldești,AB
Ciumbrud,AB
Ciuruleasa,AB
Coasta Henții,AB
Coasta Vâscului,AB
Cobleș,AB
Cocești,AB
Cocoșești,AB
Cojocani,AB
Coleșeni,AB
Colibi,AB
Colțești,AB
Copand,AB
Corna,AB
Cornu,AB
Coroiești,AB
Corțești,AB
Costești (Albac),AB
Costești (Poiana Vadului),AB
Coșlariu,AB
Coșlariu Nou,AB
Cotorăști,AB
Craiva,AB
Crăciunelu de Jos,AB
Crăciunelu de Sus,AB
Crețești,AB
Cricău,AB
Cristești,AB
Crișeni,AB
Cucuta,AB
Cugir,AB
Culdești,AB
Cunța,AB
Curături,AB
Curmătură,AB
Curpeni,AB
Cut,AB
Daia Română,AB
Dănduț,AB
Dăroaia,AB
Dâmbureni,AB
Dârlești,AB
Deal,AB
Dealu Bajului,AB
Dealu Bistrii,AB
Dealu Capsei,AB
Dealu Caselor,AB
Dealu Crișului,AB
Dealu Doștatului,AB
Dealu Ferului,AB
Dealu Frumos (Gârda de Sus),AB
Dealu Frumos (Vadu Moților),AB
Dealu Geoagiului,AB
Dealu Goiești,AB
Dealu Lămășoi,AB
Dealu Muntelui,AB
Dealu Ordâncușii,AB
Dealu Roatei,AB
Decea,AB
Deleni-Obârșie,AB
Deoncești,AB
Deve,AB
Dilimani,AB
Dobra,AB
Dobrești,AB
Dobrot,AB
Dogărești,AB
Dolești,AB
Doptău,AB
Dos,AB
Dosu Luncii,AB
Dosu Văsești,AB
Doștat,AB
Drașov,AB
Drăgoiești-Luncă,AB
Drâmbar,AB
Dric,AB
Duduieni,AB
Dumăcești,AB
Dumbrava (Ciugud),AB
Dumbrava (Săsciori),AB
Dumbrava (Unirea),AB
Dumbrava (Zlatna),AB
Dumbrăvița,AB
Dumești,AB
Dumitra,AB
După Deal (Lupșa),AB
După Deal (Ponor),AB
După Pleșe,AB
Durăști,AB
Fața,AB
Fața Abrudului,AB
Fața Cristesei,AB
Fața Lăpușului,AB
Fața-Lăzești,AB
Fața Pietrii,AB
Făget,AB
Făgetu de Jos,AB
Făgetu de Sus,AB
Fărău,AB
Fântânele,AB
Feisa,AB
Feneș,AB
Ferești,AB
Fericet,AB
Fețeni,AB
Ficărești,AB
Flitești,AB
Florești (Bucium),AB
Florești (Câmpeni),AB
Florești (Râmeț),AB
Florești (Scărișoara),AB
Furduiești (Câmpeni),AB
Furduiești (Sohodol),AB
Galați,AB
Galbena,AB
Galda de Jos,AB
Galda de Sus,AB
Galtiu,AB
Găbud,AB
Gănești,AB
Gâmbaș,AB
Gârbova,AB
Gârbova de Jos,AB
Gârbova de Sus,AB
Gârbovița,AB
Gârda-Bărbulești,AB
Gârda Seacă,AB
Gârda de Sus,AB
Gârde,AB
Geamăna,AB
Geoagiu de Sus,AB
Geogel,AB
Geomal,AB
Ghedulești,AB
Ghețari,AB
Ghioncani,AB
Ghirbom,AB
Giurgiuț,AB
Gligorești,AB
Glod,AB
Glogoveț,AB
Goașele,AB
Goiești,AB
Gojeiești,AB
Gorgan,AB
Groși,AB
Gura Arieșului,AB
Gura Cornei,AB
Gura Cuțului,AB
Gura Izbitei,AB
Gura Roșiei,AB
Gura Sohodol,AB
Haiducești,AB
Haneș Mină,AB
Hațegana,AB
Hădărău,AB
Hănășești (Gârda de Sus),AB
Hănășești (Poiana Vadului),AB
Hăpria,AB
Hărăști,AB
Helerești,AB
Helești,AB
Henig,AB
Heria,AB
Hoancă (Sohodol),AB
Hoancă (Vidra),AB
Hodișești,AB
Hodobana,AB
Holobani,AB
Hopârta,AB
Horea,AB
Hudricești,AB
Huzărești,AB
Iacobești,AB
Ibru,AB
Iclod,AB
Ighiel,AB
Ighiu,AB
Ignățești,AB
Iliești,AB
Incești (Avram Iancu),AB
Incești (Poșaga),AB
Inoc,AB
Inuri,AB
Isca,AB
Ivăniș,AB
Izbicioara,AB
Izbita,AB
Izlaz,AB
Izvoarele (Blaj),AB
Izvoarele (Gârda de Sus),AB
Izvoarele (Livezile),AB
Izvoru Ampoiului,AB
Întregalde,AB
Jeflești,AB
Jidoștina,AB
Jidvei,AB
Jojei,AB
Joldișești,AB
Jurcuiești,AB
Lancrăm,AB
Laz (Săsciori),AB
Laz (Vințu de Jos),AB
Lazuri (Lupșa),AB
Lazuri (Sohodol),AB
Lăzești (Scărișoara),AB
Lăzești (Vadu Moților),AB
Lehești,AB
Leorinț,AB
Lespezea,AB
Lipaia,AB
Livezile,AB
Lodroman,AB
Loman,AB
Lopadea Nouă,AB
Lopadea Veche,AB
Luminești,AB
Lunca Ampoiței,AB
Lunca Bisericii,AB
Lunca Goiești,AB
Lunca Largă (Bistra),AB
Lunca Largă (Ocoliș),AB
Lunca (Lupșa),AB
Lunca Merilor,AB
Lunca Meteșului,AB
Lunca Mureșului,AB
Lunca (Poșaga),AB
Lunca Târnavei,AB
Lunca (Valea Lungă),AB
Lunca Vesești,AB
Lunca (Vidra),AB
Lunca de Jos,AB
Lupăiești,AB
Lupșa,AB
Lupșeni,AB
Lupu,AB
Lupulești,AB
Maței,AB
Măcărești,AB
Măghierat,AB
Măgina,AB
Măgura (Bucium),AB
Măgura (Galda de Jos),AB
Măhăceni,AB
Mămăligani,AB
Mănărade,AB
Mănăstire,AB
Măncești,AB
Mărgaia,AB
Mărgineni,AB
Mărinești,AB
Mărtești,AB
Mărtinie,AB
Mătăcina,AB
Mătișești (Ciuruleasa),AB
Mătișești (Horea),AB
Medrești,AB
Medveș,AB
Mereteu,AB
Mesentea,AB
Meșcreac,AB
Meteș,AB
Micești,AB
Micoșlaca,AB
Mihalț,AB
Mihăiești,AB
Mihoești,AB
Mirăslău,AB
Modolești (Întregalde),AB
Modolești (Vidra),AB
Mogoș,AB
Morărești (Ciuruleasa),AB
Morărești (Sohodol),AB
Morcănești,AB
Motorăști,AB
Mugești,AB
Muncelu,AB
Munești,AB
Muntari,AB
Munună,AB
Mușca,AB
Nădăștia,AB
Nămaș,AB
Năpăiești,AB
Necrilești,AB
Necșești,AB
Negești,AB
Negrești,AB
Nelegești,AB
Nemeși,AB
Nicorești,AB
Niculești,AB
Noșlac,AB
