foundicon-settings	\f000
foundicon-heart	\f001
foundicon-star	\f002
foundicon-plus	\f003
foundicon-minus	\f004
foundicon-checkmark	\f005
foundicon-remove	\f006
foundicon-mail	\f007
foundicon-calendar	\f008
foundicon-page	\f009
foundicon-tools	\f00a
foundicon-globe	\f00b
foundicon-home	\f00c
foundicon-quote	\f00d
foundicon-people	\f00e
foundicon-monitor	\f00f
foundicon-laptop	\f010
foundicon-phone	\f011
foundicon-cloud	\f012
foundicon-error	\f013
foundicon-right-arrow	\f014
foundicon-left-arrow	\f015
foundicon-up-arrow	\f016
foundicon-down-arrow	\f017
foundicon-trash	\f018
foundicon-add-doc	\f019
foundicon-edit	\f01a
foundicon-lock	\f01b
foundicon-unlock	\f01c
foundicon-refresh	\f01d
foundicon-paper-clip	\f01e
foundicon-video	\f01f
foundicon-photo	\f020
foundicon-graph	\f021
foundicon-idea	\f022
foundicon-mic	\f023
foundicon-cart	\f024
foundicon-address-book	\f025
foundicon-compass	\f026
foundicon-flag	\f027
foundicon-location	\f028
foundicon-clock	\f029
foundicon-folder	\f02a
foundicon-inbox	\f02b
foundicon-website	\f02c
foundicon-smiley	\f02d
foundicon-search	\f02e
