user,title,type,career_status,start,salary,region,occupation,notes
applicant,Super applicant,Full time,Active job seeker,2013-01-19,85000.00,California,Medical / Health,"mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi"
angel,Angelic angel,"Freelancer / self-employed,Full time,Part time / side job",Active job seeker,2013-04-01,65000.00,Florida,Logistics / Transportation,"Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas mi felis, adipiscing fringilla,"
builder,Buildy builder,Full time,In education,2013-01-30,110000.00,New York,Human Resources,"vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque a, facilisis non, bibendum sed,"
bulb,Bulb fiction,"Freelancer / self-employed,Part time / side job",Active job seeker,2013-01-19,95000.00,Massachusetts,IT / Software Development,"malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula."
cap,Captain cap,Marginal employment,Passive job seeker,2013-04-21,85000.00,California,Biotech / R&D / Science,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus et, eros. Proin"
engineer,Ingenious engineer,"Full time,Internship / trainee",Active job seeker,2013-07-25,25000.00,Florida,Editorial / Writing,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis"
india,Indian isabelle,Freelancer / self-employed,Passive job seeker,2013-01-01,100000.00,New York,Banking / Real Estate / Mortgage Professionals,"elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit"
patch,Pretty patcher,"Marginal employment,Full time",Passive job seeker,2013-01-19,99999.00,Massachusetts,Administrative / Clerical,turpis nec mauris blandit mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam
peru,Peruvian portishead,"Freelancer / self-employed,Full time,Internship / trainee,Part time / side job",In education,2014-01-01,45000.00,New York,Quality Assurance / Safety,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus."
tiger,Tiger cat,Part time / side job,In education,2013-01-17,50000.00,New York,Education / Training,turpis nec mauris blandit mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam
