user,skill,skill_level,notes
applicant,"GNU R,Mathcad,Windows 2000/XP/Vista,AJAX,MS Office (in general)","1,2,3,1,2","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus et, eros. Proin"
angel,"MS Office (in general),Java,Windows 2000/XP/Vista,MS Word","3,1,2,3","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis"
builder,"Lotus Notes,Java,AJAX","2,1,1","elit. Etiam laoreet, libero et tristique pellentesque, tellus sem mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit"
bulb,"Pagemaker,Adobe Acrobat,MS Outlook,AJAX,Dreamweaver,OpenOffice / Staroffice,CorelDraw","1,3,2,1,2,1,3",turpis nec mauris blandit mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam
cap,"MS Powerpoint,AJAX,MS Office (in general),COBOL,MS Excel,MS Word","3,1,2,1,2,2","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus."
engineer,"Windows 2000/XP/Vista,Java,OpenOffice / Staroffice,Pagemaker,MS Word,OpenOffice / Staroffice,MS Powerpoint","3,1,1,3,3,2,3",turpis nec mauris blandit mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam
india,"Windows 2000/XP/Vista,Java,MS Office (in general),The Gimp,OpenOffice / Staroffice","1,2,2,3,2","mauris. Integer sem elit, pharetra ut, pharetra sed, hendrerit a, arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi"
patch,"The Gimp,AJAX,C++,Adobe Acrobat,AJAX,COBOL","1,2,1,2,3,3","Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas mi felis, adipiscing fringilla,"
peru,"AJAX,Photoshop,MS Word,CorelDraw,.NET","2,1,2,2,3","vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit, pellentesque a, facilisis non, bibendum sed,"
tiger,"C++,AJAX,MS Office (in general),CorelDraw,C++","1,2,1,3,3","malesuada ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula."
