Aachen, Germany:::GMXX0154:::633175:::Aachen, Germany
Aalborg, Denmark:::DAXX0002:::551890:::Aalborg, Denmark
Abadan, Iran:::IRXX0001:::2254271:::Abadan, Iran
Aberdeen, UK:::UKXX0001:::10243:::Aberdeen, UK
Abidjan, Ivory Coast:::IVXX0001:::1339615:::Abidjan, Ivory Coast
Abu Dhabi, U.A.E:::AEXX0001:::1940330:::Abu Dhabi, U.A.E
Abuja, Nigeria:::NIXX0022:::1398823:::Abuja, Nigeria
Acapulco, Mexico:::MXGR0150:::110978:::Acapulco, Mexico
Accra, Ghana:::GHXX0001:::1326075:::Accra, Ghana
Addis Ababa, Ethiopia:::ETXX0001:::1313090:::Addis Ababa, Ethiopia
Adelaide, Australia:::ASXX0001:::1099805:::Adelaide, Australia
Aden, Yemen:::YMXX0001:::1958930:::Aden, Yemen
Agadir, Morocco:::MOXX0022:::1542773:::Agadir, Morocco
Agia Marina, Greece:::GRXX0030:::56064414:::Agia Marina, Greece
Agia Pelagia, Greece:::GRXX0030:::55862978:::Agia Pelagia, Greece
Agios Nikolaos, Greece:::GRXX0030:::950333:::Agios Nikolaos, Greece
Ajaccio, France:::FRXX0129:::575627:::Ajaccio, France
Akureyri, Iceland:::ICXX0005:::980027:::Akureyri, Iceland
Al Basrah, Iraq:::IZXX0002:::1979390:::Al Basrah, Iraq
Al Zarqa, Jordania:::JOXX0003:::1968491:::Al Zarqa, Jordania
Alajuela, Costa Rica:::CSXX0001:::57669:::Alajuela, Costa Rica
Alanya, Turkey:::TUXX0080:::2343715:::Alanya, Turkey
Alassio, Italy:::ITXX0070:::709900:::Alassio, Italy
Albacete, Spain:::SPXX0197:::751648:::Albacete, Spain
Albena, Bulgaria:::BUXX0007:::55862977:::Albena, Bulgaria
Albufeira, Portugal:::POXX0013:::735563:::Albufeira, Portugal
Albuquerque, USA:::USNM0004:::2352824:::Albuquerque, USA
Alcudia, Spain:::SPXX0007:::751867:::Alcudia, Spain
Aleppo, Syria:::SYXX0003:::1947132:::Aleppo, Syria
Alexandria, Egypt:::EGXX0001:::1522006:::Alexandria, Egypt
Algarve, Portugal:::POXX0021:::742676:::Algarve, Portugal
Algeciras, Spain:::SPXX0088:::752067:::Algeciras, Spain
Alger, Algeria:::AGXX0001:::1253079:::Alger, Algeria
Alghero, Italy:::ITXX0101:::709973:::Alghero, Italy
Alicante, Spain:::SPXX0008:::752101:::Alicante, Spain
Alice Springs, Australia:::ASXX0002:::1099853:::Alice Springs, Australia
Almaty, Kazakstan:::KZXX0001:::2255777:::Almaty, Kazakstan
Almeria, Spain:::SPXX0009:::752212:::Almeria, Spain
Alta, Norway:::NOXX0090:::856589:::Alta, Norway
Alvor, Portugal:::POXX0021:::736072:::Alvor, Portugal
Amman, Jordania:::JOXX0002:::1968902:::Amman, Jordania
Amsterdam, Netherlands:::NLXX0002:::727232:::Amsterdam, Netherlands
Anaheim, USA:::USCA0027:::2354447:::Anaheim, USA
Anapa, Russia:::RSXX1410:::2120016:::Anapa, Russia
Anchorage, USA:::USAK0012:::2354490:::Anchorage, USA
Ancona, Italy:::ITXX0102:::710129:::Ancona, Italy
Andorra:::ANXX0001:::472553:::Andorra
Anguilla:::AVXX0001:::56273:::Anguilla
Ankara, Turkey:::TUXX0002:::2343732:::Ankara, Turkey
Antalya, Turkey:::TUXX0004:::2343733:::Antalya, Turkey
Antananarivo, Madagascar:::MAXX0002:::1358594:::Antananarivo, Madagascar
Antibes, France:::FRXX0004:::576272:::Antibes, France
Antigua and Barbuda:::ACXX0002:::56220:::Antigua and Barbuda
Antwerpen, Belgium:::BEXX0003:::966591:::Antwerpen, Belgium
Ao Nang, Thailand:::THXX0018:::1226146:::Ao Nang, Thailand
Aphrodite Hills, Cyprus:::CYXX0006:::841589:::Aphrodite Hills, Cyprus
Aqaba, Jordania:::ISXX0005:::1968261:::Aqaba, Jordania
Aralsk, Kazakstan:::KZXX0032:::2255903:::Aralsk, Kazakstan
Arequipa, Peru:::PEXX0001:::418442:::Arequipa, Peru
Arguineguin, Spain:::SPXX0171:::763866:::Arguineguin, Spain
Ari Atoll, Maldives:::MVXX0001:::2268295:::Ari Atoll, Maldives
Arkangelsk, Russia:::RSXX0194:::12598009:::Arkangelsk, Russia
Arrecife, Spain:::SPXX0012:::753057:::Arrecife, Spain
Aruba:::AAXX0001:::56069:::Aruba
Ashgabat, Turkmenistan:::TXXX0018:::1935520:::Ashgabat, Turkmenistan
Asmara, Eritrea:::ERXX0001:::1312120:::Asmara, Eritrea
Astrahan, Russia:::RSXX0008:::1984592:::Astrahan, Russia
Asuncion, Paraguay:::PAXX0001:::379176:::Asuncion, Paraguay
Athens, Greece:::GRXX0004:::946738:::Athens, Greece
Atlanta, USA:::USGA0028:::2357024:::Atlanta, USA
Auckland, New Zealand:::NZXX0003:::2348079:::Auckland, New Zealand
Augsburg, Germany:::GMXX0004:::636080:::Augsburg, Germany
Auxerre, France:::FRXX0008:::577483:::Auxerre, France
Avignon, France:::FRXX0270:::577605:::Avignon, France
Ayia Napa, Cyprus:::CYXX0003:::841285:::Ayia Napa, Cyprus
Baden, Switzerland:::SZXX0003:::781712:::Baden, Switzerland
Bagdad, Iraq:::IZXX0008:::1979455:::Bagdad, Iraq
Bahamas:::BFXX0005:::57024:::Bahamas
