"el_id";"tab_id";"label";"type";"facet_name";"search_field";"query_type";"ui_effect";"weight";"sorting";"mincount";"is_enabled";"page_limit"
"1";"1";"Keyword(s)";"textfield";"";"";"keyword";"";"0";NULL;"0";"1";"0"
"2";"1";"Format";"radios";"values:=All|Videocassette=VHS ONLY|Videodisc=DVD ONLY";"xc:typeSMD";"phrase";"";"2";NULL;"0";"1";"0"
"3";"3";"Languages";"select";"facet:language";"language";"phrase";"";"0";"false";"1";"1";"0"
"4";"3";"Format";"radios";"values:=All|Videocassette=VHS ONLY|Videodisc=DVD ONLY";"xc:typeSMD";"keyword";"";"0";NULL;"0";"1";"0"
"5";"4";"Directors";"select";"field:rdarole__director";"rdarole:director";"phrase";"";"0";"false";"1";"1";"0"
"6";"4";"Format";"radios";"values:=All|Videocassette=VHS ONLY|Videodisc=DVD ONLY";"xc:typeSMD";"phrase";"";"0";NULL;"0";"1";"0"
"7";"5";"Genres";"select";"facet:genre";"genre";"phrase";"";"0";"false";"1";"1";"0"
"8";"5";"Format";"radios";"values:=All|Videocassette=VHS ONLY|Videodisc=DVD ONLY";"xc:typeSMD";"keyword";"";"0";NULL;"0";"1";"0"
"9";"6";"Database Name";"textfield";"";"";"keyword";"";"0";"true";"0";"1";"0"
"10";"9";"eJournal Name";"textfield";"";"dcterms:title";"keyword";"";"0";NULL;"0";"1";"0"
"11";"9";"";"radios";"values:truncated=Title begins with|keyword=Keyword(s)";"modifier_field=10";"keyword";"";"0";NULL;"0";"1";"0"
