"atof_id";"metadata_schema";"entity";"schema_field";"attribute";"type";"solr_field"
"1";"xc";"work";"dcterms:coverage";"xsi:type";"value_as_key";"dcterms:coverage_xxxxxx"
"2";"xc";"work";"dcterms:isReplacedBy";"dcterms:ISSN";"value_as_value";"dcterms:isReplacedBy_dcterms:ISSN"
"3";"xc";"work";"dcterms:replaces";"dcterms:ISSN";"value_as_value";"dcterms:replaces_dcterms:ISSN"
"4";"xc";"work";"dcterms:spatial";"xsi:type";"value_as_key";"dcterms:spatial_xxxxxx"
"5";"xc";"work";"dcterms:subject";"xsi:type";"value_as_key";"dcterms:subject_xxxxxx"
"6";"xc";"work";"dcterms:type";"xsi:type";"value_as_key";"dcterms:type_xxxxxx"
"7";"xc";"work";"rdarole:artist";"agentID";"value_as_value";"rdarole:artist_agentID"
"8";"xc";"work";"rdarole:author";"agentID";"value_as_value";"rdarole:author_agentID"
"9";"xc";"work";"rdarole:compiler";"agentID";"value_as_value";"rdarole:compiler_agentID"
"10";"xc";"work";"rdarole:composer";"agentID";"value_as_value";"rdarole:composer_agentID"
"11";"xc";"work";"rdarole:speaker";"agentID";"value_as_value";"rdarole:speaker_agentID"
"12";"xc";"work";"rdvocab:identifierForTheWork";"xsi:type";"value_as_key";"rdvocab:identifierForTheWork_xxxxxx"
"13";"xc";"work";"xc:coverage";"xsi:type";"value_as_key";"xc:coverage_xxxxxx"
"14";"xc";"work";"xc:coverage";"geoID";"value_as_value";"xc:coverage_geoID"
"15";"xc";"work";"xc:creator";"agentID";"value_as_value";"xc:creator_agentID"
"16";"xc";"work";"xc:expressionOfWork";"type";"value_as_key";"xc:expressionOfWork_xxxxxx"
"17";"xc";"work";"xc:relation";"workID";"value_as_value";"xc:relation_workID"
"18";"xc";"work";"xc:spatial";"xsi:type";"value_as_key";"xc:spatial_xxxxxx"
"19";"xc";"work";"xc:spatial";"geoID";"value_as_value";"xc:spatial_geoID"
"20";"xc";"work";"xc:subject";"xsi:type";"value_as_key";"xc:subject_xxxxxx"
"21";"xc";"work";"xc:subject";"subjID";"value_as_value";"xc:subject_subjID"
"22";"xc";"work";"xc:temporal";"type";"value_as_key";"xc:temporal_xxxxxx"
"23";"xc";"work";"xc:temporal";"chronID";"value_as_value";"xc:temporal_chronID"
"24";"xc";"work";"xc:type";"xsi:type";"value_as_key";"xc:type_xxxxxx"
"25";"xc";"work";"xc:type";"subjID";"value_as_value";"xc:type_subjID"
"26";"xc";"expression";"dcterms:language";"xsi:type";"value_as_key";"dcterms:language_xxxxxx"
"27";"xc";"expression";"dcterms:type";"xsi:type";"value_as_key";"dcterms:type_xxxxxx"
"28";"xc";"expression";"rdarole:director";"agentID";"value_as_value";"rdarole:director_agentID"
"29";"xc";"expression";"rdarole:editor";"agentID";"value_as_value";"rdarole:editor_agentID"
"30";"xc";"expression";"rdarole:illustrator";"agentID";"value_as_value";"rdarole:illustrator_agentID"
"31";"xc";"expression";"rdarole:performer";"agentID";"value_as_value";"rdarole:performer_agentID"
"32";"xc";"expression";"rdarole:producer";"agentID";"value_as_value";"rdarole:producer_agentID"
"33";"xc";"expression";"rdarole:translator";"agentID";"value_as_value";"rdarole:translator_agentID"
"34";"xc";"expression";"rdvocab:identifierForTheExpression";"type";"value_as_key";"rdvocab:identifierForTheExpression_xxxxxx"
"35";"xc";"expression";"xc:contributor";"agentID";"value_as_value";"xc:contributor_agentID"
"36";"xc";"expression";"xc:manifestationOfExpression";"type";"value_as_key";"xc:manifestationOfExpression_xxxxxx"
"37";"xc";"expression";"xc:workExpressed";"type";"value_as_key";"xc:workExpressed_xxxxxx"
"38";"xc";"manifestation";"xc:expressionManifested";"type";"value_as_key";"xc:expressionManifested_xxxxxx"
"39";"xc";"manifestation";"xc:holdingsOfManifestation";"type";"value_as_key";"xc:holdingsOfManifestation_xxxxxx"
"40";"xc";"manifestation";"xc:identifier";"xsi:type";"value_as_key";"xc:identifier_xxxxxx"
"41";"xc";"manifestation";"xc:isPartOf";"workID";"value_as_value";"xc:isPartOf_workID"
"42";"xc";"manifestation";"xc:recordID";"type";"value_as_key";"xc:recordID_xxxxxx"
"43";"xc";"holdings";"xc:itemOfHoldings";"type";"value_as_key";"xc:itemOfHoldings_xxxxxx"
"44";"xc";"holdings";"xc:manifestationHeld";"type";"value_as_key";"xc:manifestationHeld_xxxxxx"
"45";"xc";"holdings";"xc:recordID";"type";"value_as_key";"xc:recordID_xxxxxx"
"46";"xc";"item";"xc:holdingsExemplified";"type";"value_as_key";"xc:holdingsExemplified_xxxxxx"
"47";"xc";"item";"xc:recordID";"type";"value_as_key";"xc:recordID_xxxxxx"
"48";"xc";"item";"xc:serviceProvider";"type";"value_as_key";"xc:serviceProvider_xxxxxx"
"49";"xc";"manifestation";"dcterms:identifier";"type";"value_as_key";"dcterms:identifier_xxxxxx"
