"field_type_id";"metadata_schema";"field";"type"
"1";"oai_dc";"dc:contributor";"_t"
"2";"oai_dc";"dc:coverage";"_t"
"3";"oai_dc";"dc:creator";"_t"
"4";"oai_dc";"dc:date";"_t"
"5";"oai_dc";"dc:description";"_t"
"6";"oai_dc";"dc:format";"_t"
"7";"oai_dc";"dc:identifier";"_t"
"8";"oai_dc";"dc:language";"_t"
"9";"oai_dc";"dc:publisher";"_t"
"10";"oai_dc";"dc:relation";"_t"
"11";"oai_dc";"dc:rights";"_t"
"12";"oai_dc";"dc:source";"_t"
"13";"oai_dc";"dc:subject";"_t"
"14";"oai_dc";"dc:title";"_t"
"15";"oai_dc";"dc:type";"_t"
"16";"oai_dc";"dc:date";"_dt"
"143";"xc";"dcterms:date";"_dt"
"144";"xc";"dcterms:dateAccepted";"_dt"
"145";"xc";"dcterms:dateCopyrighted";"_dt"
"146";"xc";"dcterms:dateSubmitted";"_dt"
"451";"xc";"dcterms:accessRights";"n/a"
"452";"xc";"dcterms:accrualMethod";"n/a"
"453";"xc";"dcterms:accrualPeriodicity";"n/a"
"454";"xc";"dcterms:accrualPolicy";"n/a"
"455";"xc";"dcterms:alternative";"n/a"
"456";"xc";"dcterms:audience";"n/a"
"457";"xc";"dcterms:available";"n/a"
"458";"xc";"dcterms:bibliographicCitation";"n/a"
"459";"xc";"dcterms:conformsTo";"n/a"
"460";"xc";"dcterms:contributor";"n/a"
"461";"xc";"dcterms:coverage";"n/a"
"462";"xc";"dcterms:created";"n/a"
"463";"xc";"dcterms:creator";"n/a"
"464";"xc";"dcterms:description";"n/a"
"465";"xc";"dcterms:educationLevel";"n/a"
"466";"xc";"dcterms:extent";"n/a"
"467";"xc";"dcterms:format";"n/a"
"468";"xc";"dcterms:hasFormat";"n/a"
"469";"xc";"dcterms:hasPart";"n/a"
"470";"xc";"dcterms:hasVersion";"n/a"
"471";"xc";"dcterms:identifier";"n/a"
"472";"xc";"dcterms:instructionMethod";"n/a"
"473";"xc";"dcterms:isFormatOf";"n/a"
"474";"xc";"dcterms:isPartOf";"n/a"
"475";"xc";"dcterms:isReferencedBy";"n/a"
"476";"xc";"dcterms:isReplacedBy";"n/a"
"477";"xc";"dcterms:isRequiredBy";"n/a"
"478";"xc";"dcterms:isVersionOf";"n/a"
"479";"xc";"dcterms:issued";"n/a"
"480";"xc";"dcterms:language";"n/a"
"481";"xc";"dcterms:license";"n/a"
"482";"xc";"dcterms:mediator";"n/a"
"483";"xc";"dcterms:medium";"n/a"
"484";"xc";"dcterms:modified";"n/a"
"485";"xc";"dcterms:provenance";"n/a"
"486";"xc";"dcterms:publisher";"n/a"
"487";"xc";"dcterms:references";"n/a"
"488";"xc";"dcterms:relation";"n/a"
"489";"xc";"dcterms:replaces";"n/a"
"490";"xc";"dcterms:requires";"n/a"
"491";"xc";"dcterms:rights";"n/a"
"492";"xc";"dcterms:rightsHolder";"n/a"
"493";"xc";"dcterms:source";"n/a"
"494";"xc";"dcterms:spatial";"n/a"
"495";"xc";"dcterms:subject";"n/a"
"496";"xc";"dcterms:tableOfContents";"n/a"
"497";"xc";"dcterms:temporal";"n/a"
"498";"xc";"dcterms:title";"n/a"
"499";"xc";"dcterms:type";"n/a"
"500";"xc";"dcterms:valid";"n/a"
"501";"xc";"dcterms:version";"n/a"
"502";"xc";"rdarole:artist";"n/a"
"503";"xc";"rdarole:author";"n/a"
"504";"xc";"rdarole:compiler";"n/a"
"505";"xc";"rdarole:composer";"n/a"
"506";"xc";"rdarole:director";"n/a"
"507";"xc";"rdarole:editor";"n/a"
"508";"xc";"rdarole:illustrator";"n/a"
"509";"xc";"rdarole:performer";"n/a"
"510";"xc";"rdarole:producer";"n/a"
"511";"xc";"rdarole:speaker";"n/a"
"512";"xc";"rdarole:translator";"n/a"
"513";"xc";"rdvocab:artisticAndOrTechnicalCredits";"n/a"
"514";"xc";"rdvocab:awards";"n/a"
"515";"xc";"rdvocab:coordinatesOfCartographicContent";"n/a"
"516";"xc";"rdvocab:dimensions";"n/a"
"517";"xc";"rdvocab:dissertationOrThesesInformation";"n/a"
"518";"xc";"rdvocab:editionStatement";"n/a"
"519";"xc";"rdvocab:frequency";"n/a"
"520";"xc";"rdvocab:identifierForTheExpression";"n/a"
"521";"xc";"rdvocab:identifierForTheWork";"n/a"
"522";"xc";"rdvocab:illustration";"n/a"
"523";"xc";"rdvocab:modeOfIssuance";"n/a"
"524";"xc";"rdvocab:natureOfTheContent";"n/a"
"525";"xc";"rdvocab:numberingOfSerials";"n/a"
"526";"xc";"rdvocab:performerNarratorAndOrPresenter";"n/a"
"527";"xc";"rdvocab:placeAndDateOfCapture";"n/a"
"528";"xc";"rdvocab:placeOfProduction";"n/a"
"529";"xc";"rdvocab:plateNumber";"n/a"
"530";"xc";"rdvocab:publisherNumber";"n/a"
