"code";"label"
"ArtMicro";"Art/Music Library"
"ArtFolio";"Art/Music Library"
"ArtMuscRef";"Art/Music Library"
"ArtMusicRR";"Art/Music Library"
"ArtStack";"Art/Music Library"
"ArtMuscOS";"Art/Music Library"
"ArtResDsk";"Art/Music Library"
"ArtRes";"Art/Music Library"
"ArtRefCD";"Art/Music Library"
"ArtWrkRoom";"Art/Music Library"
"ArtRef";"Art/Music Library"
"ArtCage";"Art/Music Library"
"ArtCircDsk";"Art/Music Library"
"ArtCirProc";"Art/Music Library"
"ArtPer";"Art/Music Library"
"BibbyOpJnl";"Bibby Library"
"BibbyBks";"Bibby Library"
"BibbyCirc";"Bibby Library"
"BibbyClJnl";"Bibby Library"
"BibbyClRes";"Bibby Library"
"BibbySer";"Bibby Library"
"BibbyNewBk";"Bibby Library"
"BibbyOpRes";"Bibby Library"
"BibbyRare";"Bibby Library"
"BibbyRef";"Bibby Library"
"BibbyRes";"Bibby Library"
"BibbyThes";"Bibby Library"
"BGILcd";"Business and Government Information Library"
"BGILCirc";"Business and Government Information Library"
"BGIL";"Business and Government Information Library"
"BGILfed";"Business and Government Information Library"
"BGILguide";"Business and Government Information Library"
"BGILnys";"Business and Government Information Library"
"BGILover";"Business and Government Information Library"
"CarlNewBk";"Carlson Library"
"CarlBrows";"Carlson Library"
"CarlDiss";"Carlson Library"
"Carl Text";"Carlson Library"
"CarlOff";"Carlson Library"
"CarlRes";"Carlson Library"
"CarlRdRef";"Carlson Library"
"CarlRef";"Carlson Library"
"CarlOsize";"Carlson Library"
"CarlMapCs";"Carlson Library"
"CarlPer";"Carlson Library"
"CarlTecRp";"Carlson Library"
"CarlCmpct";"Carlson Library"
"CarlStack";"Carlson Library"
"CarlCirPro";"Carlson Library"
"CarlCirc";"Carlson Library"
"CarlAtlas";"Carlson Library"
"CarlCDCase";"Carlson Library"
"SibMusEdNC";"Eastman School of Music Libraries"
"ESMCurPl";"Eastman School of Music Libraries"
"SibStorWdn";"Eastman School of Music Libraries"
"SibStream";"Eastman School of Music Libraries"
"SibBindGnl";"Eastman School of Music Libraries"
"SibMicMast";"Eastman School of Music Libraries"
"SibMicAcq";"Eastman School of Music Libraries"
"SibParts";"Eastman School of Music Libraries"
"SibMusEdC";"Eastman School of Music Libraries"
"ESMEnsembl";"Eastman School of Music Libraries"
"ESMRecArts";"Eastman School of Music Libraries"
"SibAcq";"Eastman School of Music Libraries"
"SibBarcode";"Eastman School of Music Libraries"
"SibBindery";"Eastman School of Music Libraries"
"SibNewMat";"Eastman School of Music Libraries"
"SibBindSp";"Eastman School of Music Libraries"
"SibBJrnl";"Eastman School of Music Libraries"
"SibBrittle";"Eastman School of Music Libraries"
"SibCat";"Eastman School of Music Libraries"
"SibCatFol";"Eastman School of Music Libraries"
"SibReview";"Eastman School of Music Libraries"
"SibOctavo";"Eastman School of Music Libraries"
"SibCircDsk";"Eastman School of Music Libraries"
"SibFolio";"Eastman School of Music Libraries"
"SibMinScor";"Eastman School of Music Libraries"
"SibCollWks";"Eastman School of Music Libraries"
"SibConserv";"Eastman School of Music Libraries"
"SibCurPer";"Eastman School of Music Libraries"
"SibDiscard";"Eastman School of Music Libraries"
"SibErasing";"Eastman School of Music Libraries"
"SibESMArch";"Eastman School of Music Libraries"
"SibHeckman";"Eastman School of Music Libraries"
"SibILL";"Eastman School of Music Libraries"
"SibLocCode";"Eastman School of Music Libraries"
"SibMicro";"Eastman School of Music Libraries"
"SibRefMisc";"Eastman School of Music Libraries"
