"code";"label"
"E-Res";"Electronic Reserves"
"RheesTest";"Electronic Test Bank"
"SibNet";"Internet"
"DivINet";"Internet"
"MinerNet";"Internet"
"Internet";"Internet"
"MMCstream";"Streamed Audio Reserve"
"MMCstreamV";"Streamed Video Reserve"
"ArtCage";"Art Cage - Art/Music Library (Restricted Circ)"
"ArtCirProc";"Art Circulation Processing"
"ArtFolio";"Art Folio - Art/Music Library (Restricted Circ)"
"ArtPer";"Art Journals - Art/Music Library"
"ArtCageF";"Art Library Cage Rhees G131"
"ArtCircRef";"Art Library Reference Rhees G131"
"ArtRefIcon";"Art Library Reference Rhees G131"
"ArtRefBib";"Art Library Reference Rhees G131"
"ArtRefDir";"Art Library Reference Rhees G131"
"ArtRefEnc";"Art Library Reference Rhees G131"
"ArtRef";"Art Reference - Art/Music Library"
"ArtStack";"Art Stacks - Art/Music Library"
"RheesBind";"At Bindery, ask at Reference Desk"
"BHResDesk";"Bexley Hall Reserve Desk"
"BibbyClRes";"Bibby Closed Reserve Books"
"BibbyClJnl";"Bibby Closed Reserve Journals"
"BibbyRes";"Bibby Lib.  Reserve Books in Work Room. Ask Library Staff"
"BibbyBks";"Bibby Lib. Books in Stacks"
"BibbyCirc";"Bibby Lib. Circulation Desk"
"BibbyRare";"Bibby Lib. Rare Books"
"BibbyRef";"Bibby Lib. Reference Collection"
"BibbyThes";"Bibby Library Theses - See Staff for Retrieval"
"BibbyNewBk";"Bibby New Books"
"BibbyOpRes";"Bibby Open Reserv Books"
"BibbyOpJnl";"Bibby Open Reserve Journals"
"BibbySer";"Bibby Serial. Unbound issues in current journal area."
"BGIL";"Business and Government Information Library"
"BGILcd";"Business and Government Information Library - CD Cabinet"
"BGILfed";"Business and Government Information Library - Stacks Federal"
"BGILnys";"Business and Government Information Library - Stacks NYS"
"BGILCirc";"Business and Government Information Library Circulation Desk"
"BGILover";"Business and Government Information Library Stacks Oversize"
"CD-ROM Net";"CD-ROM Network"
"CLARCCirc";"CLARC Circulation Desk"
"CLARC Jrnl";"CLARC Journals Rush Rhees Ground Floor"
"CarlCDCase";"Carlson Library 1st floor CD Case"
"CarlAtlas";"Carlson Library Atlas Cases 1st Floor"
"CarlBrows";"Carlson Library Browsing Collection 2nd floor"
"CarlStack";"Carlson Library Circulating Books 3rd Floor"
"CarlCirc";"Carlson Library Circulation Desk"
"CarlCirPro";"Carlson Library Circulation Processing"
"CarlCmpct";"Carlson Library Compact Shelving 1st Floor, Shelved by title"
"CarlTecRp";"Carlson Library Computer Science Tech Reports 1st Floor"
"CarlDiss";"Carlson Library Dissertations 1st Floor"
"CarlFicheC";"Carlson Library Fiche Cabinet 1st floor"
"CarlIndex";"Carlson Library Indexes 1st Floor"
"CarlPer";"Carlson Library Journals 1st Floor, Shelved by title"
"MapCase";"Carlson Library Map Cases 1st Floor"
"CarlMapCs";"Carlson Library Map Cases 1st Floor"
"CarlMicro";"Carlson Library Microfiche Cabinet"
"CarlOSize";"Carlson Library Oversize Books 3rd Floor"
"CarlOsize";"Carlson Library Oversized Books 3rd Floor"
"CarlRef";"Carlson Library Reference 1st Floor"
"CarlRdRef";"Carlson Library Reference Desk 1st Floor"
"CarlRes";"Carlson Library Reserve Desk 2nd Floor"
"CarlSoft";"Carlson Library Software"
"CarlOff";"Carlson Library Staff Use Only"
"Carl Text";"Carlson Library Textbook Collection"
"CarlNewBk";"Carlson New Books Shelf 1st Floor"
"DivSlid";"Currently unavailable.Call 340-9602 (Swasey) for information"
"DivGame";"Currently unavailable.Call 340-9602 (Swasey) for information"
"DivTape";"Currently unavailable.Call 340-9602 (Swasey) for information"
"DivLP";"Currently unavailable.Call 340-9602 (Swasey) for information"
"DivArchiv";"Currently unavailable.Call 340-9602 (Swasey) for information"
"DivMap";"Currently unavailable.Call 340-9602 (Swasey) for information"
"DivFlmSt";"Currently unavailable.Call 340-9602 (Swasey) for information"
"DivThesis";"Currently unavailable.Call 340-9602 (Swasey) for information"
"DivKit";"Currently unavailable.Call 340-9602 (Swasey) for information"
"DUMMY";"DUMMY"
"Data ServR";"Data Center/Multimedia Rhees Ground Floor"
"Data Servs";"Data Services/Management Rhees 3rd Floor"
"Div Cass";"Divinity Audio Cassettes at UR Library Annex"
"DivMfche";"Divinity Microfiche in Newspaper and Microform Center"
"DivMflm";"Divinity Microfilm in Newspaper and Microform Center"
"DivReview";"Divinity School Cataloging Review"
"DivXFolios";"Divinity School X Folios"
"ESMCurPl";"ESM Ofc. of Careers and Prof. Dev., IML Suite, Miller Ctr."
"ESMEnsembl";"Eastman Music Ensemble Library Old Sibley Library 2nd Fl"
"ElecDel";"Electronic Delivery"
"Gandhi";"Gandhi Peace Collection in Rush Rhees - Ask at Circ Desk"
"GEHCat";"George Eastman House Library Catalog Department"
"GEHConserv";"George Eastman House Library Conservation Non Circulating"
"GEHFilmRef";"George Eastman House Library Film Reference NonCirculating"
"GEHMainStk";"George Eastman House Library Main Stacks Non Circulating"
"GEHMSS";"George Eastman House Library Manuscripts NonCirculating"
"GEHMedia";"George Eastman House Library Media Collection"
"GEHMicro";"George Eastman House Library Microforms NonCirculating"
"GEHOffSite";"George Eastman House Library Off Site Storage NonCirculating"
"GEHMainOS";"George Eastman House Library Oversized Main Stacks"
"GEHPerOS";"George Eastman House Library Oversized Periodicals"
"GEHRareOS";"George Eastman House Library Oversized Rare Books"
"GEHRareOSP";"George Eastman House Library Oversized Rare Periodicals"
"GEHPer";"George Eastman House Library Periodicals NonCirculating"
"GEHRareBks";"George Eastman House Library Rare Books Non Circulating"
"GEHRarePer";"George Eastman House Library Rare Periodicals NonCirculating"
"GEHRef";"George Eastman House Library Reference NonCirculating"
"DocFiche";"Government Documents -- SuDoc Microfiche Rhees 2nd floor"
"RheesDocs";"Government Documents Reference Rhees 2nd Floor"
"DocRef";"Government Documents Reference Rhees 2nd floor"
"DocSer";"Government Documents Serials Processing"
"DocsCDs";"Government Documents--CD Cabinet Rhees 2nd Floor"
"DocMicCirc";"Government Documents--Circulation Desk Rhees 2nd Floor"
"DocCirProc";"Government Documents--In-Process Rhees 2nd Floor"
"RheesNYS";"Government Documents--NYS Collection Rhees 2nd Floor"
"DocNYS";"Government Documents--NYS Collection Rhees 2nd floor"
"DocSpecRes";"Government Documents--Special Reserve Rhees 2nd Floor"
"RheesSuDoc";"Government Documents--SuDoc Collection Rhees 2nd Floor"
"DocSuDoc";"Government Documents--SuDoc Collection Rhees 2nd floor"
"DocOversze";"Government Documents--SuDoc Oversize Rhees 2nd floor"
